latitude,longitude,runners,trees,pedestrians
42.58,-71.236,2.0,0.0,0.0
42.355,-71.076,2868.0,105.0,528.0
42.409,-71.067,1.0,0.0,0.0
42.397,-71.12,72.0,0.0,2292.0
42.275,-71.057,1.0,0.0,0.0
42.377,-71.106,23.0,0.0,5748.0
42.518,-71.159,1.0,0.0,0.0
42.426,-71.144,5.0,0.0,0.0
42.361,-71.06,8406.0,12.0,156.0
42.344,-71.035,56.0,22.0,92.0
42.339,-71.076,127.0,60.0,216.0
42.336,-71.187,12.0,0.0,0.0
42.468,-70.899,5.0,0.0,0.0
42.474,-70.922,35.0,0.0,0.0
42.296,-71.098,17.0,0.0,0.0
42.37,-71.11,9.0,0.0,5748.0
42.36,-71.095,191.0,0.0,2586.0
42.34,-71.036,758.0,7.0,138.0
42.389,-71.099,1.0,0.0,810.0
42.308,-71.12,1013.0,2.0,0.0
42.375,-71.137,46.0,0.0,0.0
42.626,-71.305,4.0,0.0,0.0
42.377,-71.065,54.0,21.0,126.0
42.299,-71.081,308.0,1.0,0.0
42.244,-71.136,37.0,8.0,0.0
42.297,-71.072,1.0,25.0,0.0
42.327,-71.062,3.0,0.0,81.0
42.369,-71.058,35.0,0.0,190.0
42.328,-71.359,23.0,0.0,0.0
42.356,-71.134,22.0,9.0,0.0
42.365,-71.078,25.0,0.0,5888.0
42.338,-71.011,16.0,0.0,204.0
42.374,-71.208,15.0,0.0,0.0
42.332,-71.131,3.0,0.0,0.0
42.395,-71.124,12.0,0.0,1711.0
42.286,-71.063,361.0,11.0,0.0
42.346,-71.074,6.0,13.0,78.0
42.364,-71.087,1258.0,0.0,7758.0
42.296,-71.071,3.0,16.0,0.0
42.387,-71.039,2.0,0.0,204.0
42.37,-71.083,11.0,0.0,810.0
42.309,-71.059,3.0,4.0,0.0
42.32,-71.264,15.0,0.0,0.0
42.383,-70.994,7.0,0.0,0.0
42.356,-71.06,3374.0,0.0,184.0
42.263,-71.237,1.0,0.0,0.0
42.352,-71.13,34.0,16.0,0.0
42.371,-71.082,158.0,0.0,540.0
42.261,-71.284,1.0,0.0,0.0
42.273,-71.143,65.0,8.0,0.0
42.361,-71.146,79.0,10.0,0.0
42.338,-71.144,17.0,0.0,0.0
42.417,-71.154,48.0,0.0,0.0
42.286,-71.149,12.0,2.0,0.0
42.377,-71.112,15.0,0.0,5603.0
42.337,-71.217,13.0,0.0,0.0
42.369,-71.068,256.0,0.0,42.0
42.517,-71.144,2.0,0.0,0.0
42.831,-71.255,1.0,0.0,0.0
42.282,-71.047,254.0,17.0,0.0
42.394,-71.117,113.0,0.0,2473.0
42.426,-71.145,1.0,0.0,0.0
42.396,-71.104,3.0,0.0,1288.0
42.374,-71.104,44.0,0.0,3832.0
42.329,-71.264,23.0,0.0,0.0
42.465,-71.146,2.0,0.0,0.0
42.301,-71.085,304.0,5.0,0.0
42.343,-71.145,17.0,6.0,0.0
42.341,-71.102,22.0,17.0,956.0
42.339,-71.017,233.0,40.0,408.0
42.372,-71.198,21.0,0.0,0.0
42.421,-71.163,31.0,0.0,0.0
42.323,-71.202,1.0,0.0,0.0
42.867,-71.292,1.0,0.0,0.0
42.313,-71.033,833.0,6.0,0.0
42.33,-71.222,13.0,0.0,0.0
42.36,-71.161,38.0,0.0,0.0
42.36,-71.162,7.0,0.0,0.0
42.405,-71.134,3.0,0.0,0.0
42.34,-71.095,2.0,20.0,3036.0
42.555,-71.184,1.0,0.0,0.0
42.352,-71.122,720.0,9.0,210.0
42.352,-71.062,746.0,0.0,330.0
42.357,-71.044,1.0,0.0,46.0
42.896,-71.315,1.0,0.0,0.0
42.341,-71.087,125.0,10.0,410.0
42.348,-71.067,118.0,25.0,26.0
42.294,-71.124,35.0,95.0,0.0
42.38,-71.071,38.0,45.0,810.0
42.352,-71.151,18.0,9.0,0.0
42.341,-71.15,33.0,33.0,0.0
42.288,-71.129,13.0,28.0,0.0
42.356,-71.068,4666.0,6.0,4112.0
42.291,-71.046,332.0,39.0,0.0
42.381,-71.097,54.0,0.0,270.0
42.564,-71.2,1.0,0.0,0.0
42.313,-71.046,695.0,13.0,0.0
42.272,-71.064,324.0,37.0,0.0
42.339,-71.05,10.0,26.0,36.0
42.353,-71.054,290.0,17.0,68.0
42.353,-71.06,172.0,0.0,220.0
42.301,-71.087,24.0,56.0,0.0
42.335,-71.107,11.0,1.0,984.0
42.416,-71.153,93.0,0.0,0.0
42.554,-71.182,1.0,0.0,0.0
42.357,-71.067,6600.0,31.0,2056.0
42.372,-71.111,2.0,0.0,1916.0
42.329,-71.035,807.0,5.0,18.0
42.371,-71.107,11.0,0.0,3832.0
42.365,-71.061,1294.0,19.0,380.0
42.341,-71.077,210.0,8.0,108.0
42.438,-70.992,11.0,0.0,0.0
42.38,-71.114,28.0,0.0,5069.0
42.388,-71.085,32.0,0.0,540.0
42.376,-71.096,61.0,0.0,4370.0
42.343,-71.104,54.0,25.0,2868.0
42.348,-71.046,792.0,25.0,46.0
42.297,-71.124,14.0,7.0,0.0
42.419,-71.157,6.0,0.0,0.0
42.371,-71.196,21.0,0.0,0.0
42.376,-71.103,599.0,0.0,3832.0
42.301,-71.086,1.0,10.0,0.0
42.403,-71.124,27.0,0.0,509.0
42.338,-71.121,16.0,0.0,70.0
42.34,-71.08,152.0,14.0,475.0
42.377,-71.129,17.0,0.0,0.0
42.307,-71.106,1.0,19.0,0.0
42.303,-71.105,8.0,58.0,0.0
42.4,-71.133,24.0,0.0,0.0
42.439,-71.143,2.0,0.0,0.0
42.353,-71.087,5639.0,0.0,12152.0
42.335,-71.037,19.0,0.0,18.0
42.392,-71.11,5.0,0.0,4043.0
42.346,-71.061,39.0,20.0,54.0
42.383,-71.113,70.0,0.0,4776.0
42.28,-71.127,8.0,2.0,0.0
42.286,-71.064,568.0,13.0,0.0
42.381,-71.069,47.0,37.0,270.0
42.272,-71.049,1.0,0.0,0.0
42.342,-71.105,5.0,59.0,1912.0
42.385,-71.073,90.0,68.0,540.0
42.444,-71.048,40.0,0.0,0.0
42.367,-71.12,80.0,37.0,5748.0
42.354,-71.076,927.0,11.0,176.0
42.322,-71.119,79.0,3.0,5065.0
42.573,-71.221,1.0,0.0,0.0
42.368,-71.068,103.0,0.0,84.0
42.331,-71.213,23.0,0.0,0.0
42.292,-71.112,241.0,35.0,0.0
42.297,-71.098,787.0,5.0,0.0
42.392,-71.113,39.0,0.0,3955.0
42.286,-71.143,28.0,2.0,0.0
43.079,-71.459,1.0,0.0,0.0
42.359,-71.057,7884.0,6.0,104.0
42.374,-71.114,29.0,0.0,3832.0
42.396,-71.123,58.0,0.0,1130.0
42.485,-71.13,1.0,0.0,0.0
42.347,-71.129,18.0,0.0,0.0
42.347,-71.097,58.0,20.0,4640.0
42.321,-71.101,17.0,0.0,348.0
42.429,-71.031,9.0,0.0,0.0
42.423,-71.17,25.0,0.0,0.0
42.305,-71.122,1188.0,0.0,0.0
42.485,-70.872,8.0,0.0,0.0
42.33,-71.192,17.0,0.0,0.0
42.483,-71.128,1.0,0.0,0.0
