latitude,longitude,frequency
42.3435,-71.038,20
42.2735,-71.0605,20
42.365,-71.0675,20
42.275,-71.155,20
42.3585,-71.142,20
42.319,-71.0435,20
42.361,-71.142,20
42.36,-71.141,20
42.3625,-71.1385,20
42.307,-71.1095,20
42.278,-71.0525,20
42.319,-71.119,20
42.356,-71.0515,20
42.325,-71.103,20
42.2775,-71.101,20
42.293,-71.0455,20
42.311,-71.049,20
42.2885,-71.049,20
42.2495,-71.125,20
42.339,-71.107,20
42.359,-71.1285,20
42.3525,-71.121,20
42.357,-71.134,20
42.3585,-71.135,20
42.337,-71.097,20
42.3725,-71.0605,20
42.359,-71.027,20
42.29,-71.147,20
42.307,-71.0985,20
42.3545,-71.1335,20
42.296,-71.173,20
42.35,-71.1085,20
42.31,-71.0655,20
42.3715,-71.0345,20
42.3415,-71.095,20
42.2975,-71.1285,20
42.2705,-71.1105,20
42.3615,-71.0515,20
42.354,-71.0535,20
42.3745,-71.053,20
42.277,-71.056,20
42.313,-71.015,20
42.265,-71.137,20
42.3395,-71.1,20
42.2915,-71.057,20
42.262,-71.163,20
42.374,-71.0535,20
42.3415,-71.1475,20
42.3675,-71.0395,20
42.3605,-71.127,20
42.2795,-71.067,20
42.3185,-71.0445,20
42.3725,-71.065,20
42.3715,-71.035,20
42.3125,-71.0345,20
42.342,-71.1055,20
42.295,-71.171,20
42.3135,-71.0145,20
42.284,-71.0415,20
42.359,-71.134,20
42.276,-71.121,20
42.261,-71.1605,20
42.338,-71.0945,20
42.3715,-71.029,20
42.3545,-71.0525,20
42.3485,-71.04,20
42.294,-71.0875,20
42.3655,-71.07,20
42.3075,-71.1265,20
42.371,-71.0355,20
42.348,-71.1725,20
42.308,-71.099,20
42.2945,-71.1325,20
42.3185,-71.0655,20
42.3545,-71.1265,20
42.367,-71.068,20
42.3565,-71.1285,20
42.2605,-71.159,20
42.2945,-71.0985,20
42.2975,-71.129,20
42.333,-71.1535,20
42.3385,-71.0935,20
42.2775,-71.096,20
42.3525,-71.0865,20
42.347,-71.089,20
42.329,-71.099,20
42.372,-71.1325,20
42.3715,-71.127,20
42.3235,-71.0935,20
42.303,-71.088,20
42.365,-71.067,20
42.361,-71.125,20
42.283,-71.158,20
42.361,-71.1245,20
42.346,-71.076,20
42.359,-71.126,20
42.319,-71.044,20
42.348,-71.104,20
42.346,-71.153,20
42.393,-71.069,20
42.381,-71.0125,20
42.3255,-71.104,20
42.2965,-71.173,20
42.36,-71.144,20
42.361,-71.1365,20
42.305,-71.106,20
42.301,-71.0605,20
42.3775,-71.028,20
42.3545,-71.129,20
42.2845,-71.1745,20
42.368,-71.027,20
42.2485,-71.1135,20
42.3605,-71.142,20
42.2855,-71.1035,20
42.301,-71.0865,20
42.3225,-71.095,20
42.3545,-71.1395,20
42.29,-71.043,20
42.355,-71.145,20
42.366,-71.1235,20
42.359,-71.1355,20
42.336,-71.154,20
42.301,-71.1135,20
42.3735,-71.053,20
42.285,-71.174,20
42.3025,-71.079,20
42.3415,-71.1465,20
42.3605,-71.129,20
42.319,-71.043,20
42.35,-71.099,20
42.35,-71.109,20
42.362,-71.133,20
42.3595,-71.1345,20
42.38,-71.071,20
42.392,-71.0695,20
42.2735,-71.07,20
42.364,-71.065,20
42.322,-71.075,20
42.366,-71.0225,20
42.2855,-71.104,20
42.2835,-71.1255,20
42.3545,-71.13,20
42.273,-71.138,20
42.371,-71.064,20
42.322,-71.1075,20
42.3735,-71.0325,20
42.3545,-71.1285,20
42.284,-71.042,20
42.3005,-71.087,20
42.303,-71.113,20
42.351,-71.1255,20
42.3445,-71.027,20
42.273,-71.118,20
42.362,-71.0715,20
42.363,-71.1325,20
42.3745,-71.0535,20
42.276,-71.113,20
42.277,-71.124,20
42.358,-71.06,20
42.2855,-71.0395,20
42.2925,-71.1255,20
42.3055,-71.125,20
42.3515,-71.11,20
42.3445,-71.0795,20
42.323,-71.11,20
42.3555,-71.137,20
42.373,-71.0335,20
42.371,-71.0645,20
42.361,-71.137,20
42.305,-71.074,20
42.2805,-71.145,20
42.297,-71.129,20
42.3185,-71.117,20
42.3555,-71.0755,20
42.3845,-70.996,20
42.3495,-71.167,20
42.3005,-71.115,20
42.3005,-71.111,20
42.3105,-71.049,20
42.381,-71.0625,20
42.2925,-71.0935,20
42.316,-71.0975,20
42.2945,-71.129,20
42.376,-71.0295,20
42.379,-71.052,20
42.305,-71.084,20
42.337,-71.104,20
42.3715,-71.0625,20
42.3615,-71.135,20
42.375,-71.0365,20
42.359,-71.131,20
42.3505,-71.1075,20
42.337,-71.1595,20
42.3595,-71.1245,20
42.3165,-71.1265,20
42.36,-71.1425,20
42.2745,-71.1215,20
42.34,-71.0895,20
42.359,-71.1275,20
42.372,-71.0405,20
42.319,-71.0415,20
42.337,-71.101,20
42.348,-71.0315,20
42.311,-71.1075,20
42.3715,-71.034,20
42.364,-71.0675,20
42.3115,-71.011,20
42.374,-71.0525,20
42.334,-71.1,20
42.375,-71.0305,20
42.3785,-71.072,20
