latitude,longitude,frequency,logFreq
42.349,-71.0999,4589,3.661718058
42.3595,-71.0724,4576,3.660486016
42.353,-71.0889,4566,3.659535907
42.352,-71.1019,4561,3.659060072
42.3505,-71.1129,4561,3.659060072
42.353,-71.1009,4560,3.658964843
42.349,-71.0994,4539,3.656960183
42.351,-71.1129,4525,3.655618584
42.353,-71.0989,4514,3.654561555
42.363,-71.0729,4513,3.654465334
42.349,-71.1004,4512,3.654369091
42.3495,-71.1014,4509,3.654080235
42.352,-71.0979,4499,3.653115993
42.3595,-71.0734,4494,3.652633068
42.351,-71.0914,4461,3.649432223
42.35,-71.1019,4436,3.646991537
42.349,-71.1094,4410,3.644438589
42.3485,-71.1109,4408,3.644241586
42.3505,-71.0909,4399,3.643353962
42.35,-71.1129,4394,3.642860053
42.363,-71.0724,4392,3.642662331
42.3495,-71.1089,4361,3.639586087
42.3485,-71.1104,4358,3.639287226
42.349,-71.1009,4324,3.635885685
42.352,-71.0884,4313,3.634779458
42.3515,-71.1129,4307,3.634174872
42.3485,-71.1114,4297,3.633165354
42.3515,-71.0884,4280,3.631443769
42.3525,-71.1019,4252,3.628593256
42.353,-71.1014,4241,3.627468272
42.351,-71.1024,4233,3.626648268
42.3515,-71.0919,4231,3.626443025
42.3525,-71.0979,4219,3.625209525
42.349,-71.1124,4219,3.625209525
42.3535,-71.0999,4211,3.624385241
42.353,-71.0984,4208,3.624075731
42.3515,-71.0974,4206,3.623869268
42.3515,-71.1024,4200,3.62324929
42.3505,-71.1084,4196,3.62283548
42.3525,-71.0884,4194,3.622628426
42.3595,-71.0739,4192,3.622421274
42.3485,-71.1099,4183,3.621487865
42.351,-71.1084,4180,3.621176282
42.3535,-71.1004,4165,3.619615006
42.3505,-71.1024,4164,3.619510721
42.3535,-71.0994,4153,3.618361931
42.326,-71.0984,4135,3.616475514
42.3495,-71.1019,4134,3.616370472
42.363,-71.0719,4119,3.614791792
42.35,-71.1084,4109,3.613736141
42.3495,-71.1129,4096,3.612359948
42.349,-71.1014,4085,3.611192061
42.3505,-71.0914,4085,3.611192061
42.352,-71.0974,4075,3.610127613
42.352,-71.1024,4073,3.60991441
42.3485,-71.1119,4055,3.607990859
42.3485,-71.0999,4055,3.607990859
42.349,-71.1089,4035,3.605843539
42.351,-71.0919,4031,3.605412798
42.3535,-71.1009,4029,3.605197267
42.35,-71.1024,4018,3.604009932
42.3535,-71.0989,4015,3.60368555
42.3485,-71.1004,4003,3.60238559
42.35,-71.0909,3987,3.600646236
42.3485,-71.1094,3952,3.596816936
